Nr;Data i czas;Przewodnosc 1 [µS/cm] (3);Przewodnosc 2 [µS/cm] (4);Przewodnosc 3 [µS/cm] (9);Przewodnosc 4 [µS/cm] (10);Przewodnosc 5 [µS/cm] (11);Przewodnosc 6 [µS/cm] (12)
63;2022-07-11 14:10:31,5;-1,2453;377,3448;398,9119;-4999,9987;2,3893;1725,3484
64;2022-07-11 14:10:34,5;-1,2778;384,4893;402,5551;-4999,9997;2,4647;1281,3642
65;2022-07-11 14:10:37,5;-1,3325;388,477;404,4423;-4999,9999;2,6062;1261,9602
66;2022-07-11 14:10:40,5;-1,2654;391,2151;408,5447;-5000;2,5146;1415,5207
67;2022-07-11 14:10:43,5;-1,2662;391,8145;412,9417;-4999,9611;2,5171;1469,9318
68;2022-07-11 14:10:46,5;-1,2437;394,3786;416,0045;-4999,9913;2,6336;1273,0692
69;2022-07-11 14:10:49,5;-1,186;400,7982;418,954;-4999,9981;2,5592;1377,5138
70;2022-07-11 14:10:52,5;-1,266;406,0241;427,3091;-4999,9996;2,5368;1219,0411
71;2022-07-11 14:10:55,5;-1,196;413,5031;433,267;-4999,9999;2,4995;1702,5191
72;2022-07-11 14:10:58,5;-1,1681;420,2374;436,8327;-4999,9825;2,5416;1583,732
73;2022-07-11 14:11:01,5;-1,2842;425,3563;443,9433;-4999,9961;2,3413;1400,0355
74;2022-07-11 14:11:04,5;-1,2911;430,6054;448,5628;-4999,9991;2,5451;1160,6866
75;2022-07-11 14:11:07,5;-1,2454;429,3113;455,7635;-4999,9998;2,6071;1320,2184
76;2022-07-11 14:11:10,5;-1,2015;435,1473;462,1869;-5000;2,6088;1187,7132
77;2022-07-11 14:11:13,5;-1,2217;440,3431;471,3832;-5000;2,61;1164,473
78;2022-07-11 14:11:16,5;-1,2444;446,7316;478,0863;-5000;2,5519;2189,8983
79;2022-07-11 14:11:19,5;-1,2646;453,8774;484,7328;-5000;2,4417;1446,6037
80;2022-07-11 14:11:22,5;-1,2609;456,0709;493,0088;-5000;2,5083;1734,0695
81;2022-07-11 14:11:25,5;-1,3234;459,2285;497,5106;-5000;2,4913;1396,292
82;2022-07-11 14:11:28,5;-1,2664;461,1241;498,3588;-5000;2,4889;1185,0083
83;2022-07-11 14:11:31,5;-1,3445;460,1255;501,8367;-5000;2,4642;1163,6868
84;2022-07-11 14:11:34,5;-1,2914;459,2548;504,8731;-4999,9797;2,5747;1170,5852
85;2022-07-11 14:11:37,5;-1,3001;464,5437;506,7858;-4999,9955;2,4808;1119,6666
86;2022-07-11 14:11:40,5;-1,2073;464,3729;507,4436;-4999,999;2,3803;1148,3728
87;2022-07-11 14:11:43,5;-1,1906;455,9889;507,0095;-4999,9998;2,518;2303,5257
88;2022-07-11 14:11:46,5;-1,2132;455,3687;504,2959;-4999,9999;2,4892;1497,3365
89;2022-07-11 14:11:49,5;-1,2631;452,0995;496,4338;-5000;2,4451;1175,9213
90;2022-07-11 14:11:52,5;-1,1794;459,9347;494,9422;-5000;2,5637;1106,7315
91;2022-07-11 14:11:55,5;-1,2383;464,8182;494,9133;-5000;2,4115;1766,7834
92;2022-07-11 14:11:58,5;-1,2474;463,6726;491,7127;-5000;2,4073;1297,4685
93;2022-07-11 14:12:01,5;-1,2148;464,8188;494,7545;-5000;2,4271;1099,3589
94;2022-07-11 14:12:04,5;-1,2615;472,4159;502,3768;-5000;2,4349;1113,6457
95;2022-07-11 14:12:07,5;-1,2375;476,545;509,3984;-5000;2,367;1212,8025
96;2022-07-11 14:12:10,5;-1,26;476,9608;513,4295;-5000;2,5171;1661,0125
97;2022-07-11 14:12:13,5;-1,1758;478,8741;516,8169;-5000;2,5664;1289,2252
98;2022-07-11 14:12:16,5;-1,3136;482,0254;516,4048;-5000;2,4683;1764,9852
99;2022-07-11 14:12:19,5;-1,2665;484,8013;521,6295;-5000;2,5261;1395,8716
100;2022-07-11 14:12:22,5;-1,268;490,6309;524,1184;-5000;2,5261;1294,4861
101;2022-07-11 14:12:25,5;-1,2558;492,2721;531,4181;-5000;2,4908;1364,162
102;2022-07-11 14:12:28,5;-1,3012;492,7003;537,315;-5000;2,6605;1343,7029
103;2022-07-11 14:12:31,5;-1,2358;494,9985;539,7935;-4999,9752;2,6517;1546,8713
104;2022-07-11 14:12:34,5;-1,365;499,2711;538,3055;-4999,9536;2,6622;1284,3129
105;2022-07-11 14:12:37,5;-1,2679;501,1908;538,4612;-4999,9896;2,5333;2071,0109
106;2022-07-11 14:12:40,5;-1,1869;496,9893;544,3023;-4999,9977;2,5287;1359,0458
107;2022-07-11 14:12:43,5;-1,251;496,5505;551,0837;-4999,9995;2,4987;1103,5295
108;2022-07-11 14:12:46,5;-1,2256;500,5989;550,772;-4999,9999;2,4259;1173,8474
109;2022-07-11 14:12:49,5;-1,2812;506,7578;548,1851;-4999,9816;2,5434;1437,6916
110;2022-07-11 14:12:52,5;-1,2978;509,3089;548,2396;-4999,9959;2,5475;1194,4467
111;2022-07-11 14:12:55,5;-1,2607;510,6177;554,4979;-4999,9816;2,4889;1087,4157
112;2022-07-11 14:12:58,5;-1,3296;512,1541;557,7284;-4999,9959;2,4732;1313,4822
113;2022-07-11 14:13:01,5;-1,2635;516,0572;557,9576;-4999,9991;2,4419;1711,9863
114;2022-07-11 14:13:04,5;-1,2801;519,6346;562,056;-4999,9998;2,4738;1285,6924
115;2022-07-11 14:13:07,5;-1,2516;526,4722;563,6682;-5000;2,6026;1553,4432
116;2022-07-11 14:13:10,5;-1,2052;528,8267;564,3264;-5000;2,5742;1151,3001
117;2022-07-11 14:13:13,5;-1,222;526,3386;564,8389;-4999,985;2,559;1173,2654
118;2022-07-11 14:13:16,5;-1,2772;525,7876;571,6088;-4999,9966;2,4142;1831,9159
119;2022-07-11 14:13:19,5;-1,2821;529,7502;577,1275;-4999,9993;2,5692;1695,1059
120;2022-07-11 14:13:22,5;-1,2269;536,8235;578,2031;-4999,9998;2,527;1623,1287
121;2022-07-11 14:13:25,5;-1,1561;540,8773;580,1798;-5000;2,5865;1473,3148
122;2022-07-11 14:13:28,5;-1,3238;539,0129;585,2111;-4999,9787;2,4498;1192,9189
123;2022-07-11 14:13:31,5;-1,2133;537,1642;585,486;-4999,9952;2,7022;1013,5449
124;2022-07-11 14:13:34,5;-1,2115;525,1142;581,2991;-4999,9989;2,4245;1393,4339
125;2022-07-11 14:13:37,5;-1,2414;513,3555;584,2007;-4999,9998;2,5158;1140,4447
126;2022-07-11 14:13:40,5;-1,2933;507,3274;588,1991;-4999,9999;2,6584;1229,3741
127;2022-07-11 14:13:43,5;-1,28;513,968;589,2565;-5000;2,5841;1089,1544
128;2022-07-11 14:13:46,5;-1,2928;518,82;593,1135;-5000;2,4129;1275,4306
129;2022-07-11 14:13:49,5;-1,2595;523,7324;597,8006;-4999,9475;2,5765;1328,1082
130;2022-07-11 14:13:52,5;-1,1959;530,7124;600,3457;-4999,9883;2,4153;1439,3241
131;2022-07-11 14:13:55,5;-1,2285;538,2369;598,4649;-4999,9974;2,4985;1458,1423
132;2022-07-11 14:13:58,5;-1,1564;544,902;592,1784;-4999,9994;2,369;1122,5503
133;2022-07-11 14:14:01,5;-1,2055;551,0975;594,9993;-4999,9452;2,3798;1014,8783
134;2022-07-11 14:14:04,5;-1,2432;555,4204;601,0824;-4999,9878;2,4067;1027,5185
135;2022-07-11 14:14:07,5;-1,2167;557,1772;604,8067;-4999,9973;2,5385;1180,1772
136;2022-07-11 14:14:10,5;-1,297;561,4784;604,9729;-4999,9994;2,5551;1231,2403
137;2022-07-11 14:14:13,5;-1,2626;561,9412;607,0444;-4999,9999;2,6245;1454,9924
138;2022-07-11 14:14:16,5;-1,3105;561,7198;608,2308;-5000;2,4422;1539,0513
139;2022-07-11 14:14:19,5;-1,3277;563,892;607,6974;-5000;2,4871;1394,8863
140;2022-07-11 14:14:22,5;-1,324;564,8296;611,7951;-5000;2,4733;1378,3236
141;2022-07-11 14:14:25,5;-1,2648;563,8847;610,7283;-4999,9697;2,5184;1483,0779
142;2022-07-11 14:14:28,5;-1,2637;560,0629;608,1468;-4999,9932;2,539;1112,2636
143;2022-07-11 14:14:31,5;-1,2857;557,6647;609,6455;-4999,9985;2,5496;1030,2907
144;2022-07-11 14:14:34,5;-1,258;557,7844;615,8015;-4999,9997;2,5285;1063,3904
145;2022-07-11 14:14:37,5;-1,2518;558,7551;618,2572;-4999,9999;2,5699;1363,6555
146;2022-07-11 14:14:40,5;-1,1998;563,3911;618,9192;-4999,9726;2,5642;1203,2079
147;2022-07-11 14:14:43,5;-1,1958;569,0332;622,7578;-4999,9939;2,3956;1040,0778
